Год отчета,ID Студента,ФИО студента,Факультет,Курс,Статус,Год зачисления,Предмет,Оценка,ФИО преподавателя
2020,7b7ae537,Васильева Лукия Ефимовна,Факультет информационных технологий,1,Обучается,2020,Архитектура ЭВМ,4,Вероника Геннадьевна Корнилова
2020,7b7ae537,Васильева Лукия Ефимовна,Факультет информационных технологий,1,Обучается,2020,Разработка на Go,4,Савин Игорь Ануфриевич
2020,7b7ae537,Васильева Лукия Ефимовна,Факультет информационных технологий,1,Обучается,2020,Базы данных,4,Гришин Валентин Александрович
2020,4634c005,Молчанова Оксана Степановна,Медицинский факультет,1,Обучается,2020,Фармакология,5,Князева Агата Ильинична
2020,4634c005,Молчанова Оксана Степановна,Медицинский факультет,1,Обучается,2020,Биохимия,4,Алевтина Кузьминична Маркова
2020,2f4961a8,Трофим Демьянович Елисеев,Медицинский факультет,1,Обучается,2020,Биохимия,5,Ираклий Ярославович Тимофеев
2020,2f4961a8,Трофим Демьянович Елисеев,Медицинский факультет,1,Обучается,2020,Фармакология,3,Наина Анатольевна Кошелева
2020,2f4961a8,Трофим Демьянович Елисеев,Медицинский факультет,1,Обучается,2020,Латинский язык,3,Яков Феликсович Буров
2020,9bcb78b2,Евфросиния Архиповна Лаврентьева,Медицинский факультет,1,Обучается,2020,Хирургия,5,Аникита Трифонович Муравьев
2020,9bcb78b2,Евфросиния Архиповна Лаврентьева,Медицинский факультет,1,Обучается,2020,Биохимия,5,Гришин Валентин Александрович
2020,2df7d8b1,Януарий Яковлевич Шашков,Медицинский факультет,1,Обучается,2020,Латинский язык,5,Аникита Трифонович Муравьев
2020,2df7d8b1,Януарий Яковлевич Шашков,Медицинский факультет,1,Обучается,2020,Биохимия,3,Сигизмунд Филиппович Устинов
2020,2df7d8b1,Януарий Яковлевич Шашков,Медицинский факультет,1,Обучается,2020,Фармакология,3,Наталья Владиславовна Соловьева
2020,17187baf,Кузнецова Милица Николаевна,Экономический факультет,1,Обучается,2020,Микроэкономика,3,Ульяна Геннадиевна Ильина
2020,17187baf,Кузнецова Милица Николаевна,Экономический факультет,1,Обучается,2020,Макроэкономика,5,г-жа Афанасьева Нинель Ефимовна
2020,17187baf,Кузнецова Милица Николаевна,Экономический факультет,1,Обучается,2020,Налоги,5,Богдан Юльевич Панов
2020,17187baf,Кузнецова Милица Николаевна,Экономический факультет,1,Обучается,2020,Бухгалтерский учет,4,Суханова Милица Афанасьевна
2020,17187baf,Кузнецова Милица Николаевна,Экономический факультет,1,Обучается,2020,Финансы,5,тов. Устинова Фаина Юрьевна
2020,f81b63b7,Селезнев Капитон Артёмович,Факультет информационных технологий,1,Обучается,2020,Машинное обучение,5,Жанна Богдановна Маслова
2020,f81b63b7,Селезнев Капитон Артёмович,Факультет информационных технологий,1,Обучается,2020,Архитектура ЭВМ,5,г-жа Афанасьева Нинель Ефимовна
2020,f81b63b7,Селезнев Капитон Артёмович,Факультет информационных технологий,1,Обучается,2020,Разработка на Go,3,Жанна Богдановна Маслова
2020,f81b63b7,Селезнев Капитон Артёмович,Факультет информационных технологий,1,Обучается,2020,Базы данных,4,Гришин Валентин Александрович
2020,d6b40940,Конон Дмитриевич Дмитриев,Факультет информационных технологий,1,Обучается,2020,Архитектура ЭВМ,5,Ираклий Ярославович Тимофеев
2020,d6b40940,Конон Дмитриевич Дмитриев,Факультет информационных технологий,1,Обучается,2020,Базы данных,5,Аникита Трифонович Муравьев
2020,e0f21dfa,Иванна Игоревна Артемьева,Экономический факультет,1,Обучается,2020,Налоги,2,Анна Олеговна Бобылева
2020,e0f21dfa,Иванна Игоревна Артемьева,Экономический факультет,1,Обучается,2020,Финансы,5,Наталья Аскольдовна Фомина
2020,e0f21dfa,Иванна Игоревна Артемьева,Экономический факультет,1,Обучается,2020,Микроэкономика,3,Матвей Даниилович Рыбаков
2020,e0f21dfa,Иванна Игоревна Артемьева,Экономический факультет,1,Обучается,2020,Макроэкономика,4,Устин Изотович Степанов
2020,85c6ff2e,Лыткина Алла Геннадиевна,Факультет информационных технологий,1,Обучается,2020,Архитектура ЭВМ,5,Николаева Нина Евгеньевна
2020,85c6ff2e,Лыткина Алла Геннадиевна,Факультет информационных технологий,1,Обучается,2020,Машинное обучение,4,г-жа Афанасьева Нинель Ефимовна
2020,85c6ff2e,Лыткина Алла Геннадиевна,Факультет информационных технологий,1,Обучается,2020,Базы данных,4,Яков Феликсович Буров
2020,85c6ff2e,Лыткина Алла Геннадиевна,Факультет информационных технологий,1,Обучается,2020,Разработка на Go,5,Наумова Нонна Макаровна
2020,85c6ff2e,Лыткина Алла Геннадиевна,Факультет информационных технологий,1,Обучается,2020,Алгоритмы и структуры данных,5,Вероника Геннадьевна Корнилова
2020,2525696d,Раиса Натановна Горбунова,Экономический факультет,1,Обучается,2020,Бухгалтерский учет,4,Кулагин Пахом Валентинович
2020,2525696d,Раиса Натановна Горбунова,Экономический факультет,1,Обучается,2020,Финансы,4,Сигизмунд Филиппович Устинов
2020,2525696d,Раиса Натановна Горбунова,Экономический факультет,1,Обучается,2020,Налоги,3,Вячеслав Арсенович Меркушев
2020,2c0abab3,Архипов Сократ Игнатьевич,Медицинский факультет,1,Обучается,2020,Анатомия,5,Яков Феликсович Буров
2020,2c0abab3,Архипов Сократ Игнатьевич,Медицинский факультет,1,Обучается,2020,Хирургия,5,Ярослав Харитонович Максимов
2020,a0267eb6,Касьян Иларионович Гурьев,Юридический факультет,1,Обучается,2020,Уголовное право,5,Ярослав Харитонович Максимов
2020,a0267eb6,Касьян Иларионович Гурьев,Юридический факультет,1,Обучается,2020,Теория государства и права,3,Онуфрий Валерьянович Прохоров
2020,a0267eb6,Касьян Иларионович Гурьев,Юридический факультет,1,Обучается,2020,Криминалистика,4,Фадей Витальевич Тарасов
2020,6a6a1de0,Марфа Владимировна Беляева,Экономический факультет,1,Обучается,2020,Бухгалтерский учет,4,Онуфрий Ерофеевич Федоров
2020,6a6a1de0,Марфа Владимировна Беляева,Экономический факультет,1,Обучается,2020,Налоги,5,Князева Агата Ильинична
2020,94663004,Кабанов Мир Владленович,Факультет информационных технологий,1,Обучается,2020,Архитектура ЭВМ,5,Николаева Нина Евгеньевна
2020,94663004,Кабанов Мир Владленович,Факультет информационных технологий,1,Обучается,2020,Машинное обучение,4,Комаров Милован Иларионович
2020,94663004,Кабанов Мир Владленович,Факультет информационных технологий,1,Обучается,2020,Базы данных,2,Сигизмунд Филиппович Устинов
2020,ca18738f,Фёкла Мироновна Третьякова,Факультет информационных технологий,1,Обучается,2020,Базы данных,5,Ульяна Геннадиевна Ильина
2020,ca18738f,Фёкла Мироновна Третьякова,Факультет информационных технологий,1,Обучается,2020,Алгоритмы и структуры данных,2,г-жа Зайцева Олимпиада Вениаминовна
2020,ca18738f,Фёкла Мироновна Третьякова,Факультет информационных технологий,1,Обучается,2020,Архитектура ЭВМ,2,Никонова Надежда Ильинична
2020,ca18738f,Фёкла Мироновна Третьякова,Факультет информационных технологий,1,Обучается,2020,Машинное обучение,5,Фока Юльевич Брагин
2020,ca18738f,Фёкла Мироновна Третьякова,Факультет информационных технологий,1,Обучается,2020,Разработка на Go,5,Гришин Валентин Александрович
2020,508b5f60,Герасимова Алла Юльевна,Юридический факультет,1,Обучается,2020,Гражданское право,3,Князева Агата Ильинична
2020,508b5f60,Герасимова Алла Юльевна,Юридический факультет,1,Обучается,2020,Криминалистика,4,Алла Филипповна Александрова
2020,508b5f60,Герасимова Алла Юльевна,Юридический факультет,1,Обучается,2020,Уголовное право,5,Вячеслав Арсенович Меркушев
2020,508b5f60,Герасимова Алла Юльевна,Юридический факультет,1,Обучается,2020,Теория государства и права,3,Авдей Харламович Щукин
2020,27e9c505,Милица Дмитриевна Аксенова,Факультет информационных технологий,1,Обучается,2020,Архитектура ЭВМ,3,Кулагин Пахом Валентинович
2020,27e9c505,Милица Дмитриевна Аксенова,Факультет информационных технологий,1,Обучается,2020,Машинное обучение,4,Алевтина Кузьминична Маркова
2020,27e9c505,Милица Дмитриевна Аксенова,Факультет информационных технологий,1,Обучается,2020,Разработка на Go,2,Суханова Милица Афанасьевна
2020,e84cad33,Савина Клавдия Игоревна,Экономический факультет,1,Обучается,2020,Бухгалтерский учет,5,Авдей Харламович Щукин
2020,e84cad33,Савина Клавдия Игоревна,Экономический факультет,1,Обучается,2020,Налоги,5,г-жа Афанасьева Нинель Ефимовна
2020,5e996b29,Одинцова Зоя Кузьминична,Медицинский факультет,1,Обучается,2020,Анатомия,4,Авдей Харламович Щукин
2020,5e996b29,Одинцова Зоя Кузьминична,Медицинский факультет,1,Обучается,2020,Биохимия,5,Онуфрий Валерьянович Прохоров
2020,2f3784c6,Фомичев Савелий Архипович,Юридический факультет,1,Обучается,2020,Криминалистика,4,Князева Агата Ильинична
2020,2f3784c6,Фомичев Савелий Архипович,Юридический факультет,1,Обучается,2020,Теория государства и права,2,Авдей Харламович Щукин
2020,2f3784c6,Фомичев Савелий Архипович,Юридический факультет,1,Обучается,2020,Гражданское право,2,Ярослав Харитонович Максимов
2020,3a15592f,Кононов Владислав Ильич,Экономический факультет,1,Обучается,2020,Бухгалтерский учет,5,Богдан Юльевич Панов
2020,3a15592f,Кононов Владислав Ильич,Экономический факультет,1,Обучается,2020,Макроэкономика,4,г-жа Афанасьева Нинель Ефимовна
2020,3a15592f,Кононов Владислав Ильич,Экономический факультет,1,Обучается,2020,Микроэкономика,4,Жуков Панкрат Федосеевич
2020,bc02be6a,Эмилия Святославовна Сафонова,Факультет информационных технологий,1,Обучается,2020,Базы данных,5,Наина Анатольевна Кошелева
2020,bc02be6a,Эмилия Святославовна Сафонова,Факультет информационных технологий,1,Обучается,2020,Алгоритмы и структуры данных,3,Наина Анатольевна Кошелева
2020,bc02be6a,Эмилия Святославовна Сафонова,Факультет информационных технологий,1,Обучается,2020,Архитектура ЭВМ,5,Ильина Ольга Степановна
2020,3f411e7f,Будимир Ефстафьевич Кабанов,Экономический факультет,1,Обучается,2020,Налоги,5,Наталья Аскольдовна Фомина
2020,3f411e7f,Будимир Ефстафьевич Кабанов,Экономический факультет,1,Обучается,2020,Бухгалтерский учет,3,г-жа Зайцева Олимпиада Вениаминовна
2020,eb85336a,Эдуард Фокич Сысоев,Юридический факультет,1,Обучается,2020,Теория государства и права,5,Анна Олеговна Бобылева
2020,eb85336a,Эдуард Фокич Сысоев,Юридический факультет,1,Обучается,2020,Уголовное право,4,Матвей Даниилович Рыбаков
2020,eb85336a,Эдуард Фокич Сысоев,Юридический факультет,1,Обучается,2020,Гражданское право,3,Сигизмунд Филиппович Устинов
2020,eb85336a,Эдуард Фокич Сысоев,Юридический факультет,1,Обучается,2020,Криминалистика,3,Исакова Вероника Анатольевна
