Год отчета,ID Студента,ФИО студента,Факультет,Курс,Статус,Год зачисления,Предмет,Оценка,ФИО преподавателя
2016,bf512e6d,Белозеров Любомир Денисович,Экономический факультет,1,Обучается,2016,Налоги,5,Татьяна Евгеньевна Фролова
2016,bf512e6d,Белозеров Любомир Денисович,Экономический факультет,1,Обучается,2016,Микроэкономика,3,Анисимова Марина Владиславовна
2016,bf512e6d,Белозеров Любомир Денисович,Экономический факультет,1,Обучается,2016,Макроэкономика,3,Веселов Федот Юльевич
2016,bf512e6d,Белозеров Любомир Денисович,Экономический факультет,1,Обучается,2016,Финансы,5,Матвей Гертрудович Александров
2016,bf512e6d,Белозеров Любомир Денисович,Экономический факультет,1,Обучается,2016,Бухгалтерский учет,3,Яков Изотович Муравьев
2016,073d401c,Фролова Евфросиния Макаровна,Экономический факультет,1,Обучается,2016,Макроэкономика,4,Жданов Боян Даниилович
2016,073d401c,Фролова Евфросиния Макаровна,Экономический факультет,1,Обучается,2016,Микроэкономика,5,Харлампий Изотович Максимов
2016,eaf85b59,Кириллова Марина Геннадиевна,Экономический факультет,1,Обучается,2016,Финансы,4,Галактион Эдуардович Маслов
2016,eaf85b59,Кириллова Марина Геннадиевна,Экономический факультет,1,Обучается,2016,Макроэкономика,3,Богдан Гордеевич Пономарев
2016,2d10cf80,Филиппова Ираида Вячеславовна,Юридический факультет,1,Обучается,2016,Криминалистика,5,Нестор Устинович Ермаков
2016,2d10cf80,Филиппова Ираида Вячеславовна,Юридический факультет,1,Обучается,2016,Гражданское право,4,Оксана Анатольевна Назарова
2016,5e7b55b3,Павлова Майя Артемовна,Экономический факультет,1,Обучается,2016,Макроэкономика,4,Носков Азарий Эдгарович
2016,5e7b55b3,Павлова Майя Артемовна,Экономический факультет,1,Обучается,2016,Финансы,5,Изот Алексеевич Федоров
2016,5e7b55b3,Павлова Майя Артемовна,Экономический факультет,1,Обучается,2016,Микроэкономика,3,Ананий Данилович Исаков
2016,5e7b55b3,Павлова Майя Артемовна,Экономический факультет,1,Обучается,2016,Налоги,4,Ульяна Станиславовна Белякова
